date,series_id,value,unit,frequency,release_version
2009-01-01,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-02,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-03,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-04,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-05,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-06,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-07,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-08,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-09,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-10,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-11,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-12,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-13,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-14,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-15,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-16,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-17,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-18,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-19,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-20,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-21,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-22,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-23,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-24,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-25,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-26,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-27,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-28,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-29,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-30,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-01-31,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-01,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-02,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-03,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-04,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-05,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-06,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-07,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-08,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-09,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-10,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-11,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-12,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-13,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-14,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-15,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-16,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-17,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-18,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-19,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-20,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-21,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-22,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-23,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-24,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-25,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-26,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-27,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-02-28,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-01,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-02,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-03,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-04,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-05,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-06,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-07,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-08,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-09,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-10,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-11,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-12,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-13,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-14,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-15,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-16,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-17,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-18,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-19,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-20,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
2009-03-21,obm_spent_value_ge365_btc_daily,0.00000000,BTC,daily,OBM v0.1.0
